|name         |surname   |date_of_birth|
|Penelope     |Palmieri  |1993-04-17   |
|Audenico     |Donati    |1993-04-16   |
|Ludovico     |Palmieri  |1993-04-15   |
|Olimpia      |Ferretti  |1993-04-13   |
|Doriana      |Serra     |1993-04-12   |
|Piccarda     |Ferri     |1993-04-11   |
|Hector       |Bellini   |1993-04-07   |
|Ludovico     |Cattaneo  |1993-04-04   |
|Ulrico       |Marino    |1993-04-03   |
|Silverio     |Martini   |1993-03-28   |
|Sasha        |Santoro   |1993-03-22   |
|Lucia        |Sala      |1993-03-07   |
|Edilio       |Morelli   |1993-03-02   |
|Ettore       |Bellini   |1993-03-01   |
|Gianmarco    |Giordano  |1993-02-24   |
|Marieva      |Monti     |1993-02-22   |
|Artemide     |Pellegrino|1993-02-20   |
|Marcella     |Parisi    |1993-02-20   |
|Ercole       |Giuliani  |1993-02-19   |
|Albino       |Colombo   |1993-02-14   |
|Monia        |Conte     |1993-02-10   |
|Erminia      |Bernardi  |1993-02-09   |
|Laura        |Bernardi  |1993-02-09   |
|Ulrico       |Palumbo   |1993-02-07   |
|Clodovea     |Marini    |1993-02-03   |
|Diamante     |Sorrentino|1993-01-31   |
|Liborio      |De Santis |1993-01-29   |
|Filomena     |Rizzo     |1993-01-28   |
|Adriano      |De Angelis|1993-01-28   |
|Giorgio      |Battaglia |1993-01-27   |
|Enrica       |Marchetti |1993-01-27   |
|Eliziario    |Palumbo   |1993-01-24   |
|Ettore       |Marini    |1993-01-23   |
|Gregorio     |Ferri     |1993-01-22   |
|Giordano     |Coppola   |1993-01-22   |
|Maruska      |Bernardi  |1993-01-16   |
|Loredana     |Ferrari   |1993-01-14   |
|Brigitta     |Damico    |1993-01-11   |
|Leone        |Russo     |1993-01-01   |
|Piccarda     |Silvestri |1992-12-31   |
|Marcella     |Sartori   |1992-12-30   |
|Tosca        |Rossi     |1992-12-29   |
|Giorgio      |Damico    |1992-12-27   |
|Joseph       |Farina    |1992-12-26   |
|Joannes      |Silvestri |1992-12-22   |
|Kai          |Carbone   |1992-12-19   |
|Vienna       |Damico    |1992-12-15   |
|Eriberto     |Silvestri |1992-12-13   |
|Ingrid       |Moretti   |1992-12-13   |
|Sesto        |Marini    |1992-12-12   |
|Gilda        |De Angelis|1992-12-07   |
|Gabriele     |Sorrentino|1992-12-04   |
|Rocco        |Giuliani  |1992-12-01   |
|Giacobbe     |Ferretti  |1992-11-23   |
|Patrizio     |Greco     |1992-11-15   |
|Alessandro   |Milani    |1992-11-14   |
|Elsa         |Sartori   |1992-11-13   |
|Mirco        |Marino    |1992-11-08   |
|Guendalina   |Bianco    |1992-11-05   |
|Tancredi     |Donati    |1992-11-04   |
|Mariapia     |Rossetti  |1992-11-02   |
|Kayla        |Gentile   |1992-11-01   |
|Damiana      |Silvestri |1992-10-30   |
|Rita         |Gentile   |1992-10-27   |
|Soriana      |Sala      |1992-10-25   |
|Noel         |Pagano    |1992-10-25   |
|Ivonne       |Donati    |1992-10-24   |
|Renzo        |Riva      |1992-10-23   |
|Lia          |Basile    |1992-10-21   |
|Luce         |Lombardo  |1992-10-19   |
|Lucia        |De Angelis|1992-10-19   |
|Siro         |Martinelli|1992-10-18   |
|Gerlando     |Palmieri  |1992-10-16   |
|Sarita       |Benedetti |1992-10-16   |
|Giacinta     |Vitali    |1992-10-13   |
|Giacinto     |Conte     |1992-10-13   |
|Noemi        |Ferri     |1992-10-09   |
|Alessandro   |Mancini   |1992-10-07   |
|Donatella    |Monti     |1992-10-05   |
|Danthon      |Longo     |1992-10-04   |
|Giorgio      |Rossetti  |1992-10-03   |
|Ulrico       |Fontana   |1992-09-29   |
|Gianriccardo |Battaglia |1992-09-26   |
|Bortolo      |Montanari |1992-09-25   |
|Kociss       |Palumbo   |1992-09-25   |
|Romeo        |Parisi    |1992-09-24   |
|Ermes        |Giuliani  |1992-09-20   |
|Noemi        |Messina   |1992-09-16   |
|Tosca        |Romano    |1992-09-14   |
|Trevis       |Gentile   |1992-09-09   |
|Albino       |Morelli   |1992-09-08   |
|Artemide     |Montanari |1992-09-08   |
|Ciro         |Palmieri  |1992-09-08   |
|Luce         |Caruso    |1992-09-07   |
|Laerte       |Costantini|1992-09-07   |
|Nicoletta    |Parisi    |1992-09-06   |
|Maruska      |Rinaldi   |1992-09-04   |
|Naomi        |Coppola   |1992-08-30   |
|Danuta       |Coppola   |1992-08-27   |
|Nestore      |Sorrentino|1992-08-27   |
|Giancarlo    |Longo     |1992-08-25   |
|Tazio        |Conte     |1992-08-24   |
|Assia        |Palmieri  |1992-08-23   |
|Bacchisio    |Barone    |1992-08-18   |
|Loretta      |Milani    |1992-08-17   |
|Ursula       |Ferrari   |1992-08-14   |
|Demis        |Rinaldi   |1992-08-13   |
|Luigi        |Carbone   |1992-08-12   |
|Luce         |De luca   |1992-08-07   |
|Nabil        |Guerra    |1992-08-06   |
|Marina       |Martino   |1992-08-06   |
|Ruth         |Santoro   |1992-08-03   |
|Ileana       |Rizzo     |1992-08-02   |
|Nick         |Coppola   |1992-07-24   |
|Luce         |Barbieri  |1992-07-22   |
|Nunzia       |Donati    |1992-07-22   |
|Carmela      |Donati    |1992-07-21   |
|Oretta       |Mazza     |1992-07-18   |
|Hector       |Coppola   |1992-07-17   |
|Jari         |Sorrentino|1992-07-16   |
|Ian          |Farina    |1992-07-15   |
|Miriana      |Greco     |1992-07-12   |
|Marianita    |D'amico   |1992-07-12   |
|Danthon      |Carbone   |1992-07-12   |
|Zelida       |Santoro   |1992-07-10   |
|Elsa         |Ferrari   |1992-07-07   |
|Brigitta     |Greco     |1992-07-07   |
|Lidia        |Villa     |1992-07-05   |
|Quarto       |Ferraro   |1992-07-05   |
|Kai          |Donati    |1992-07-03   |
|Fabio        |Ferrara   |1992-06-27   |
|Marieva      |Vitale    |1992-06-24   |
|Lisa         |Ferrara   |1992-06-23   |
|Rebecca      |Giordano  |1992-06-18   |
|Nayade       |Carbone   |1992-06-16   |
|Emidio       |Milani    |1992-06-16   |
|Dimitri      |D'amico   |1992-06-09   |
|Sabino       |Esposito  |1992-06-07   |
|Sabino       |Ferri     |1992-06-05   |
|Maggiore     |Messina   |1992-06-02   |
|Rebecca      |Palmieri  |1992-05-26   |
|Nico         |Palumbo   |1992-05-25   |
|Genziana     |Palumbo   |1992-05-23   |
|Odino        |De Santis |1992-05-21   |
|Augusto      |Palumbo   |1992-05-20   |
|Nicoletta    |Villa     |1992-05-17   |
|Ursula       |Conti     |1992-05-15   |
|Tristano     |Ferrari   |1992-05-15   |
|Gilda        |Vitale    |1992-05-12   |
|Cristyn      |Valentini |1992-05-06   |
|Zelida       |Donati    |1992-05-05   |
|Isabel       |Fontana   |1992-05-04   |
|Grazia       |Palmieri  |1992-05-02   |
|Fortunata    |Bianco    |1992-04-29   |
|Guendalina   |Esposito  |1992-04-25   |
|Silverio     |Mazza     |1992-04-20   |
|Tristano     |Pellegrini|1992-04-13   |
|Monia        |Milani    |1992-04-12   |
|Fabiano      |Caruso    |1992-04-07   |
|Amos         |Negri     |1992-03-29   |
|Dimitri      |Santoro   |1992-03-26   |
|Renato       |Battaglia |1992-03-26   |
|Isabel       |Gatti     |1992-03-23   |
|Michael      |Lombardi  |1992-03-23   |
|Tolomeo      |Silvestri |1992-03-21   |
|Maika        |Villa     |1992-03-18   |
|Primo        |Rinaldi   |1992-03-18   |
|Vitalba      |Costa     |1992-03-17   |
|Marieva      |Pellegrino|1992-03-16   |
|Luce         |Galli     |1992-03-15   |
|Jelena       |Milani    |1992-03-13   |
|Modesto      |Damico    |1992-03-08   |
|Ausonio      |Bianco    |1992-03-02   |
|Gabriele     |Martino   |1992-02-29   |
|Dindo        |Costantini|1992-02-27   |
|Egidio       |Benedetti |1992-02-22   |
|Giulietta    |Conti     |1992-02-21   |
|Romolo       |Martini   |1992-02-16   |
|Edvige       |Bellini   |1992-02-15   |
|Flaviana     |Rinaldi   |1992-02-13   |
|Soriana      |Ruggiero  |1992-02-12   |
|Sarita       |Messina   |1992-02-08   |
|Eliziario    |Coppola   |1992-02-08   |
|Timoteo      |Martino   |1992-02-05   |
|Samuel       |Ferrari   |1992-02-03   |
|Rosalba      |Farina    |1992-02-01   |
|Osea         |Ferretti  |1992-01-28   |
|Elga         |Pellegrini|1992-01-27   |
|Maruska      |Milani    |1992-01-26   |
|Carmela      |Morelli   |1992-01-24   |
|Dylan        |Conte     |1992-01-23   |
|Nayade       |Benedetti |1992-01-22   |
|Noel         |Greco     |1992-01-22   |
|Lia          |Lombardi  |1992-01-14   |
|Eliziario    |Conti     |1992-01-12   |
|Zelida       |Bianco    |1992-01-10   |
|Alighieri    |D'amico   |1992-01-08   |
|Edvige       |Rossetti  |1992-01-07   |
|Furio        |Greco     |1992-01-07   |
|Olimpia      |Pagano    |1992-01-06   |
|Muzio        |Bruno     |1992-01-04   |
|Costantino   |Morelli   |1992-01-03   |
|Selvaggia    |Rossi     |1991-12-28   |
|Aaron        |Esposito  |1991-12-25   |
|Grazia       |Lombardi  |1991-12-24   |
|Raoul        |Neri      |1991-12-23   |
|Elio         |Bianco    |1991-12-20   |
|Brigitta     |Fontana   |1991-12-20   |
|Sibilla      |Milani    |1991-12-20   |
|Clea         |Valentini |1991-12-19   |
|Iacopo       |Rizzo     |1991-12-19   |
|Piersilvio   |Testa     |1991-12-17   |
|Guido        |Pagano    |1991-12-10   |
|Noemi        |Bianchi   |1991-12-10   |
|Fatima       |Mazza     |1991-12-09   |
|Fabio        |Barbieri  |1991-12-08   |
|Enrica       |Battaglia |1991-12-05   |
|Ortensia     |Pellegrino|1991-12-02   |
|Noah         |Battaglia |1991-11-30   |
|Kociss       |Amato     |1991-11-27   |
|Donatella    |D'angelo  |1991-11-25   |
|Gianmaria    |Sorrentino|1991-11-24   |
|Fulvio       |Vitale    |1991-11-23   |
|Nadir        |Moretti   |1991-11-18   |
|Giacinta     |Riva      |1991-11-16   |
|Lisa         |Morelli   |1991-11-16   |
|Mirco        |Mancini   |1991-11-13   |
|Demi         |Bianchi   |1991-11-12   |
|Ermes        |Colombo   |1991-11-01   |
|Audenico     |Villa     |1991-11-01   |
|Flavio       |Vitali    |1991-10-29   |
|Ursula       |De rosa   |1991-10-23   |
|Nunzia       |Bianchi   |1991-10-21   |
|Gianmaria    |D'amico   |1991-10-19   |
|Eusebio      |Vitali    |1991-10-18   |
|Umberto      |Lombardo  |1991-10-17   |
|Ulrico       |Marino    |1991-10-16   |
|Emanuel      |Barone    |1991-10-14   |
|Fiorentino   |Silvestri |1991-10-05   |
|Ingrid       |Marchetti |1991-10-05   |
|Ciro         |Donati    |1991-10-03   |
|Emanuel      |Parisi    |1991-10-01   |
|Rosolino     |Neri      |1991-09-25   |
|Siro         |Testa     |1991-09-20   |
|Lauro        |Montanari |1991-09-17   |
|Vitalba      |Rossi     |1991-09-15   |
|Danuta       |Costa     |1991-09-13   |
|Domingo      |Battaglia |1991-09-11   |
|Lucrezia     |Pagano    |1991-09-10   |
|Diana        |Amato     |1991-09-09   |
|Lauro        |Giuliani  |1991-09-09   |
|Valdo        |Serra     |1991-09-08   |
|Tazio        |Bruno     |1991-09-07   |
|Antonio      |Pellegrini|1991-09-04   |
|Mariano      |Montanari |1991-09-04   |
|Radio        |Morelli   |1991-09-04   |
|Dante        |Sartori   |1991-09-02   |
|Matilde      |Cattaneo  |1991-08-30   |
|Iacopo       |Orlando   |1991-08-27   |
|Olimpia      |Mazza     |1991-08-26   |
|Fiorentino   |Lombardo  |1991-08-26   |
|Priamo       |Marini    |1991-08-25   |
|Nazzareno    |Orlando   |1991-08-20   |
|Pierfrancesco|D'amico   |1991-08-18   |
|Cirino       |Lombardi  |1991-08-17   |
|Modesto      |Longo     |1991-08-06   |
|Edilio       |Costantini|1991-08-05   |
|Elda         |Giuliani  |1991-08-04   |
|Bettino      |Basile    |1991-08-04   |
|Elda         |Martino   |1991-08-04   |
|Danuta       |Amato     |1991-08-03   |
|Gerlando     |Fiore     |1991-08-01   |
|Naomi        |Costantini|1991-07-30   |
|Penelope     |Coppola   |1991-07-21   |
|Timothy      |Santoro   |1991-07-19   |
|Violante     |Ferrara   |1991-07-16   |
|Kayla        |Piras     |1991-07-12   |
|Amedeo       |Sorrentino|1991-07-10   |
|Nestore      |Monti     |1991-07-08   |
|Vitalba      |Barone    |1991-07-07   |
|Ubaldo       |Mazza     |1991-07-05   |
|Umberto      |Montanari |1991-07-05   |
|Ivano        |Marino    |1991-07-01   |
|Gregorio     |Romano    |1991-07-01   |
|Kai          |Moretti   |1991-06-30   |
|Silvano      |Sala      |1991-06-29   |
|Vitalba      |Longo     |1991-06-21   |
|Cleros       |Rossi     |1991-06-17   |
|Eliziario    |Ferri     |1991-06-15   |
|Diana        |Caputo    |1991-06-11   |
|Donatella    |Guerra    |1991-06-09   |
|Mariagiulia  |Esposito  |1991-06-09   |
|Mercedes     |Vitale    |1991-06-04   |
|Nestore      |Gentile   |1991-06-04   |
|Thea         |Ferrara   |1991-06-02   |
|Cassiopea    |Esposito  |1991-05-30   |
|Bibiana      |Gallo     |1991-05-30   |
|Vienna       |Mazza     |1991-05-30   |
|Giorgio      |Damico    |1991-05-25   |
|Vitalba      |Giordano  |1991-05-24   |
|Ludovico     |De rosa   |1991-05-23   |
|Alan         |Fabbri    |1991-05-23   |
|Flaviana     |Conti     |1991-05-21   |
|Penelope     |Ferrari   |1991-05-16   |
|Giacinta     |Bernardi  |1991-05-15   |
|Cosetta      |Galli     |1991-05-14   |
|Maika        |Battaglia |1991-05-06   |
|Romeo        |Valentini |1991-05-05   |
|Domiziano    |Ferraro   |1991-05-02   |
|Piererminio  |Montanari |1991-05-02   |
|Patrizio     |Fiore     |1991-04-28   |
|Mauro        |Marini    |1991-04-27   |
|Sabatino     |Marchetti |1991-04-22   |
|Clodovea     |Martini   |1991-04-20   |
|Kai          |Gallo     |1991-04-18   |
|Filomena     |Fontana   |1991-04-18   |
|Noah         |Galli     |1991-04-18   |
|Loris        |Bianco    |1991-04-17   |
|Maruska      |Longo     |1991-04-14   |
|Genziana     |Rizzi     |1991-04-13   |
|Ian          |Caputo    |1991-04-13   |
|Pericle      |Bellini   |1991-04-05   |
|Osvaldo      |Palumbo   |1991-04-01   |
|Sarita       |Moretti   |1991-03-30   |
|Assia        |Gentile   |1991-03-29   |
|Giordano     |Moretti   |1991-03-26   |
|Erminio      |Mariani   |1991-03-23   |
|Lidia        |Gatti     |1991-03-19   |
|Gerlando     |Donati    |1991-03-17   |
|Antonio      |Ricci     |1991-03-16   |
|Demi         |Marini    |1991-03-13   |
|Danthon      |Ferraro   |1991-03-06   |
|Elga         |Farina    |1991-02-27   |
|Doriana      |Ferri     |1991-02-23   |
|Thea         |Pagano    |1991-02-20   |
|Donatella    |Galli     |1991-02-18   |
|Rudy         |Vitali    |1991-02-17   |
|Ercole       |Ferrara   |1991-02-17   |
|Ingrid       |Marini    |1991-02-17   |
|Rosita       |Valentini |1991-02-15   |
|Danuta       |Rossi     |1991-02-11   |
|Aaron        |Costantini|1991-02-10   |
|Alan         |Bianchi   |1991-02-09   |
|Gaetano      |Ferrara   |1991-02-09   |
|Fernando     |Caruso    |1991-02-07   |
|Mattia       |Villa     |1991-02-05   |
|Gerlando     |Benedetti |1991-02-02   |
|Clea         |Messina   |1991-02-02   |
|Maristella   |Costa     |1991-01-28   |
|Anastasio    |Rossetti  |1991-01-24   |
|Silvano      |Rossi     |1991-01-22   |
|Kris         |Fiore     |1991-01-21   |
|Edilio       |Grasso    |1991-01-17   |
|Giacinta     |Lombardi  |1991-01-08   |
|Boris        |Riva      |1990-12-28   |
|Ninfa        |Costa     |1990-12-28   |
|Lidia        |Rizzo     |1990-12-28   |
|Artemide     |Bianco    |1990-12-21   |
|Costanzo     |Morelli   |1990-12-18   |
|Elga         |Damico    |1990-12-18   |
|Graziano     |Martini   |1990-12-18   |
|Vania        |Romano    |1990-12-06   |
|Damiana      |Russo     |1990-12-04   |
|Zelida       |Palumbo   |1990-12-03   |
|Gianleonardo |Ferretti  |1990-11-28   |
|Concetta     |Romano    |1990-11-27   |
|Carlo        |D'angelo  |1990-11-26   |
|Gregorio     |Fabbri    |1990-11-21   |
|Nayade       |Bellini   |1990-11-18   |
|Lucia        |Martini   |1990-11-18   |
|Matilde      |Ruggiero  |1990-11-17   |
|Alan         |Gallo     |1990-11-15   |
|Brigitta     |Rinaldi   |1990-11-14   |
|Erminia      |Greco     |1990-11-14   |
|Albino       |Riva      |1990-11-13   |
|Furio        |Battaglia |1990-10-30   |
|Noemi        |Ferri     |1990-10-28   |
|Cleros       |Fiore     |1990-10-24   |
|Kristel      |Parisi    |1990-10-21   |
|Kris         |Negri     |1990-10-21   |
|Boris        |Mazza     |1990-10-17   |
|Elio         |Ferrari   |1990-10-16   |
|Manuele      |Bianco    |1990-10-16   |
|Vitalba      |Pellegrino|1990-10-16   |
|Eriberto     |Sartori   |1990-10-14   |
|Marino       |Sartori   |1990-10-12   |
|Carlo        |Rinaldi   |1990-10-10   |
|Marieva      |Greco     |1990-10-03   |
|Jole         |Pellegrini|1990-09-20   |
|Noemi        |De rosa   |1990-09-19   |
|Tolomeo      |Piras     |1990-09-17   |
|Silverio     |Grasso    |1990-09-15   |
|Vania        |Guerra    |1990-09-14   |
|Ubaldo       |Galli     |1990-09-12   |
|Anastasio    |Barone    |1990-09-09   |
|Maruska      |Barone    |1990-09-07   |
|Harry        |Riva      |1990-09-03   |
|Ursula       |Sanna     |1990-09-02   |
|Marieva      |Mariani   |1990-08-30   |
|Marcella     |De rosa   |1990-08-29   |
|Bibiana      |Neri      |1990-08-28   |
|Gianmarco    |Rizzo     |1990-08-26   |
|Irene        |Morelli   |1990-08-26   |
|Raniero      |Ruggiero  |1990-08-26   |
|Gavino       |Conte     |1990-08-19   |
|Miriana      |Negri     |1990-08-15   |
|Rita         |Valentini |1990-08-14   |
|Ivano        |Longo     |1990-08-13   |
|Marco        |Bruno     |1990-08-12   |
|Fabiano      |Riva      |1990-08-11   |
|Carlo        |Fontana   |1990-08-10   |
|Secondo      |Lombardo  |1990-08-09   |
|Rosalino     |Messina   |1990-08-05   |
|Ivano        |Gallo     |1990-08-04   |
|Augusto      |Costantini|1990-07-31   |
|Ruth         |Guerra    |1990-07-31   |
|Davis        |Caruso    |1990-07-28   |
|Jelena       |Montanari |1990-07-27   |
|Valdo        |Monti     |1990-07-27   |
|Olimpia      |Serra     |1990-07-25   |
|Timothy      |Marino    |1990-07-25   |
|Monia        |Galli     |1990-07-19   |
|Egisto       |Longo     |1990-07-18   |
|Enrica       |Bruno     |1990-07-13   |
|Ingrid       |Pagano    |1990-07-12   |
|Leonardo     |Pellegrino|1990-07-11   |
|Oreste       |Bianco    |1990-07-08   |
|Ethan        |Neri      |1990-07-08   |
|Assia        |Morelli   |1990-07-07   |
|Raniero      |De rosa   |1990-07-04   |
|Samira       |D'angelo  |1990-06-28   |
|Iacopo       |Sorrentino|1990-06-20   |
|Adriano      |Sanna     |1990-06-16   |
|Laura        |Coppola   |1990-06-11   |
|Cleros       |Santoro   |1990-06-08   |
